Book,Author(s),Original language,First published,Genre,Approximate sales,Subjects,Book_Type,Book word common for the dataset,From top 200 words,Majority_Book_Type,Raw Subjects
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,eng,1967,['genre fiction'],363,"adventure, adventure, art, family, children, children, detective, history, youth, large, mystery, new, family, stories, type, women, american",Fiction,large type books,"adventure, adventurers, art, brothers, children, childrens, detective, history, juvenile, large, mystery, new, sisters, stories, type, women, york",Fiction,"Juvenile fiction, Large type books, Fiction, Runaways, Self-reliance, Brothers and sisters, History, Museums, Metropolitan Museum of Art (New York, N.Y.), Children: Grades 2-3, Newbery Medal, Runaway children, Newbery medal books, 1968, Art museums, Mystery and detective stories, Children's fiction, Runaways, fiction, New york (n.y.), fiction, Brothers and sisters, fiction, Metropolitan museum of art (new york, n.y.), fiction, Children's stories, Women, fiction, Adventure and adventurers, fiction, Museums, fiction, Fiction, general, Self-reliance, fiction, New york (n.y.), history, fiction, Siblings, fiction, award:Newbery_award, lexile:700, lexile_range:701-800, age:min:8, age:max:11, grade:min:3, grade:max:7"
Doctor Sleep,Stephen King,eng,2013,['genre fiction'],361,"evil, good, horror, large, men, novel, crime, type",Fiction,large type books,"evil, good, horror, large, men, novela, suspense, type",Fiction,"Fiction, Psychic ability, Good and evil, Fiction, horror, Large print books, Occult fiction, Large type books, Horror fiction, Psychics, Middle-aged men, Suspense fiction, Paranormal fiction, Bien y mal, Novela, Alcoholism"
About a Boy,Nick Hornby,en-US,1998,['genre fiction'],361,"age, boys, children, coming, british, english, fiction, humor, large, literature, love, manwoman, men, family, people, relationships, single, stories, type",Fiction,large type books,"age, boys, children, coming, england, english, ficción, humorous, large, literary, love, manwoman, men, mothers, people, relationships, single, stories, type",Fiction,"Divorced people, fiction, Fiction, coming of age, Fiction, humorous, Man-woman relationships, fiction, London (england), fiction, Fiction, humorous, general, Fiction, Single mothers, Children of divorced parents, Boys, Single men, Ficción, Man-woman relationships, Muchachos, Solteros, Hijos de padres divorciados, Madres solteras, Love stories, Literature, Children and adults, Bildungsromans, Divorced parents, Large type books, Alleinerziehende Mutter, Sohn, Alleinstehender, Allein erziehende Mutter, Belletristische Darstellung, Liebesbeziehung, English literature, Literary collections"
On Dublin Street,Samantha Young,eng,2012,['nonfiction'],358,romance,Fiction,romance,romance,Non-Fiction,"Fiction, romance, erotica, Scotland, fiction"
Crazy Love: Overwhelmed by a Relentless God,"Francis Chan, Danae Yankoski, Chris Tomlin",eng,2008,['genre fiction'],356,"bestseller, religion, life, new, times, american",Unknown,new york times bestseller,"bestseller, christian, life, new, times, york",Fiction,"Christian life, New York Times bestseller, nyt:paperback_advice=2010-10-30"
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,,1960,['nonfiction'],355,"animals, children, classic, criticism, fantasy, fiction, history, humor, youth, youth, youth, language, large, materials, picture, pour, reading, spanish, stories, type",Fiction,large type books,"animals, childrens, classics, criticism, fantasy, ficción, history, humorous, jeunesse, juvenil, juvenile, language, large, materials, picture, pour, readers, spanish, stories, type",Non-Fiction,"Peces, Animales caseros, Juvenile fiction, Fiction, Stories in rhyme, Ficción juvenil, Cuentos en rima, Pets, Fishes, Fishes -- Juvenile fiction, Spanish language materials, Pets -- Juvenile fiction, Children's fiction, Large type books, Fishes, fiction, Stories in rhyme., Fantasy., Minstrels, Music, History and criticism, Meistersinger, Animals, Imagination, Easy readers, Picture books, Classics, Concepts, Counting & Numbers, Humorous Stories, Nonsense verses, Littérature pour la jeunesse anglaise, High interest-low vocabulary books"
Watchers,Dean Koontz,,1987,['genre fiction'],351,"accessible, book, daisy, horror, large, private, type",Fiction,large type books,"accessible, book, daisy, horror, large, protected, type",Fiction,"Accessible book, Protected DAISY, Dogs, Serial murders, Fiction, Fiction, horror, Large type books, Genetic engineering"
The Story of My Life,Helen Keller,eng,1902,['nonfiction'],351,"african, american, american, biography, biography, evil, good, men, philosophy, science, social",Fiction,biography,"african, american, americans, autobiography, biography, evil, good, men, philosophy, science, social",Non-Fiction,"Pimps, Biography, African Americans, Fiction, Slums, Fiction, general, African American men, BIOGRAPHY & AUTOBIOGRAPHY / Criminals & Outlaws, SOCIAL SCIENCE / Ethnic Studies / African American Studies, PHILOSOPHY / Good & Evil, African americans, biography, African americans, illinois, chicago, African americans, illinois"
This Is Where I Leave You,Jonathan Tropper,eng,2009,['genre fiction'],350,"bestseller, family, death, family, family, family, large, life, men, new, people, psychology, psychology, reviewed, family, times, type, american",Fiction,large type books,"bestseller, brothers, death, families, family, fathers, large, life, men, new, people, psychological, psychology, reviewed, sisters, times, type, york",Fiction,"Fiction, Death, Brothers and sisters, Fathers, Divorced men, Self-actualization (Psychology), Families, Family, nyt:combined-print-and-e-book-fiction=2012-09-02, New York Times bestseller, Literature & Fiction, Family life, Self-realization, Siblings, nyt:trade-fiction-paperback=2010-08-01, New York Times reviewed, Large type books, Adultery, Fiction, family life, general, Fiction, psychological, Brothers and sisters, fiction, Divorced people, fiction, Siblings, fiction"
Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,en-US,2010,['genre fiction'],348,"bestseller, fantasy, history, horror, new, american, times, american, fantasy, american",Fiction,fantasy,"bestseller, fantasy, historical, horror, new, states, times, united, vampires, york",Fiction,"Fiction, Literature, Vampires, New York Times bestseller, nyt:trade_fiction_paperback=2012-02-04, Fiction, horror, Vampires, fiction, Presidents, united states, fiction, Fiction, fantasy, historical, Fiction, fantasy, paranormal"
ãƒ•ãƒ«ãƒ¼ãƒ„ãƒã‚¹ã‚±ãƒƒãƒˆ 1,"Natsuki Takaya, Alethea Nibley, Athena Nibley",eng,1999,['nonfiction'],345,,Unknown,,,Non-Fiction,
The Tempest,William Shakespeare,en-US,1623,['genre fiction'],343,"15641616, adaptations, adult, author, british, character, children, classic, comics, criticism, family, drama, drama, english, family, fiction, for, history, translation, into, irish, youth, education, literature, literature, one, pictorial, drama, reading, roman, shakespeare, comics, education, survival, education, the, translation, william, works, youth",Fiction,childrens fiction,"15641616, adaptations, adult, author, british, character, childrens, classics, comic, criticism, daughters, drama, dramatic, english, fathers, fictitious, for, history, interpretation, into, irish, juvenile, levelgrade, literary, literatura, one, pictorial, plays, reading, roman, shakespeare, strips, study, survival, teaching, the, translations, william, works, young",Fiction,"English literature: Shakespeare criticism, English literature: Shakespeare texts, Plays / Drama, Literary Criticism, Classics, For National Curriculum Key Stage 3, play, performing arts, English drama, tragicomedy, Drama, Teatro, Survival after airplane accidents, shipwrecks, Magicians, Magos, Supervivencia (accidentes de aviación, naufragios, etc.), Fathers and daughters, Tragicomedia, Castaways, Padres e hijas, Náufragos, shipwrecks, Plays, Spirits, Shipwreck victims, English literature, Political refugees, History and criticism, Bu hnenanweisung, Auffu hrung, Geschichte, English Young adult drama, Islands, Shipwreck survival, Literatura inglesa (crítica e interpretação), Criticism and interpretation, Juvenile drama, Children's plays, English, Reading Level-Grade 11, Reading Level-Grade 12, Tempest (Shakespeare, William), 18.05 English literature, British and irish drama (dramatic works by one author), Shakespeare, william, 1564-1616, tempest, English literature, outlines, syllabi, etc., Drama (dramatic works by one author), Literature, history and criticism, Shakespeare, william, 1564-1616, juvenile literature, Problems, exercises, Adaptations, Outlines, syllabi, Ariel (Fictitious character : Shakespeare), Caliban (Fictitious character), Prospero (Fictitious character), Children's plays, Stage history, Drama ., Nobility, Roman Empire, Juvenile fiction, Pictorial works, Shakespeare, william, 1564-1616, Fiction, Shipwreck victims -- Drama, Fathers and daughters -- Drama, Magicians -- Drama, Political refugees -- Drama, Islands -- Drama, Spirits -- Drama, English literature, history and criticism, Comic books, strips, SV, Survival, Translations into Hebrew, Children's fiction, Linguistics & semiotics, Shipwreck survival--drama, Fathers and daughters--drama, Magicians--drama, Islands--drama, Pr2833.a2 l56 2002, 822.3/3, Mathematics, study and teaching, Shakespeare, william , 1564-1616, Fathers and daughters--fiction, Castaways--drama, Pr2833.a2 v38 2011, The tempest"
Burned: A House of Night Novel,"P.C. Cast, Kristin Cast",eng,2010,['genre fiction'],341,"children, fantasy, fantasy",Fiction,childrens fiction,"childrens, supernatural, vampires",Fiction,"Children's fiction, Vampires, fiction, Supernatural, fiction"
Wizard and Glass,"Stephen King, Dave McKean",eng,1997,['fiction'],341,"adventure, american, character, epic, evil, fantasy, fiction, friendship, good, horror, fantasy, place, stories, fantasy, tales, thriller",Fiction,fantasy,"adventure, american, character, epic, evil, fantasy, fictitious, friendship, good, horror, imaginary, place, stories, supernatural, tales, thrillers",Fiction,"crystal balls, parallel universes, epic literature, adventure stories, fiction, supernatural, dark fantasy, thrillers, fantasy, horror fiction, gunfighters, fantasy fiction, heroes and heroines, friendship, loss, trains, Adventure fiction, Epic fiction, horror tales, heroes, good and evil, Fantastic fiction, Fiction, fantasy, epic, Roland (fictitious character : king), fiction, Dark tower (imaginary place), fiction, Roland (Fictitious character : King), Roland of Gilead (Fictitious character), Fiction, fantasy, general, American literature, Roland (Fictitious character : King) -- Fiction., Roland (Fictitious character)"
The Circle,Dave Eggers,eng,2013,['genre fiction'],340,"aspects, bestseller, civilization, drama, large, literature, new, novel, roman, social, crime, thriller, thriller, times, type, american",Fiction,large type books,"aspects, bestseller, civilization, drama, large, literary, new, nouvelles, romans, social, suspense, thriller, thrillers, times, type, york",Fiction,"multiple sclerosis, internet phobia, dystopia, future, sci-fi, literary fiction, suspense, thriller, fiction, technology, social media, privacy, internet, literature, Memory, Internet industry, High technology industries, Technology and civilization, FICTION / Literary, FICTION / Technological, Online social networks, Right of Privacy, Information society, Large type books, Dystopias, Information technology, Fiction, suspense, Fiction, satire, Fiction, dystopian, nyt:combined-print-and-e-book-fiction=2013-10-27, New York Times bestseller, Drama, Employees, Fiction, thrillers, suspense, Social aspects, Romans, nouvelles, Industrie, Médias sociaux, Literary, Technological, General"
The Invention of Hugo Cabret,Brian Selznick,eng,2007,['genre fiction'],338,"bestseller, children, fiction, french, history, history, youth, youth, language, materials, new, orphans, reviewed, spanish, times, american",Fiction,childrens fiction,"bestseller, childrens, ficción, france, historical, history, juvenil, juvenile, language, materials, new, orphans, reviewed, spanish, times, york",Fiction,"historical fiction, Juvenile fiction, Railroad stations, Robots, Fiction, New York Times bestseller, nyt:chapter_books=2010-03-13, History, Orphans, Estaciones, Spanish language materials, Ferrocarriles, Historia, Ficción juvenil, Huérfanos, New York Times reviewed, Children's fiction, Robots, fiction, Orphans, fiction, Railroads, fiction, Paris (france), history, fiction, collectionID:caldecott00, Historical fiction, New york times bestseller, Nyt:chapter_books=2010-03-13, award:Caldecott_award, lexile:820, lexile_range:801-900, age:min:8, age:max:11, grade:min:4, grade:max:7"
Brave New World/Brave New World Revisited,"Aldous Huxley, Christopher Hitchens",eng,1932,['genre fiction'],336,"author, british, family, fiction, irish, new, novel, one, psychology, psychology, roman, science, works, world",Fiction,romans,"author, british, family, fictional, irish, new, nouvelles, one, psychological, psychology, romans, science, works, world",Fiction,"Fiction, Science Fiction, Family, Freedom, Collectivism, Genetic engineering, Totalitarianism, Brainwashing, Culture, Dystopias, Propaganda, British and irish fiction (fictional works by one author), Passivity (Psychology), Fiction, psychological, Fiction, science fiction, general, Fiction, political, Overpopulation, Selling, Brave new world (Huxley, Aldous), Passivité (Psychologie), Romans, nouvelles, Totalitarisme, Collectivisme"
æ¡œè˜­é«˜æ ¡ãƒ›ã‚¹ãƒˆéƒ¨ 1,Bisco Hatori,eng,2003,['genre fiction'],335,,Unknown,,,Fiction,
The Good Girl,Mary Kubica,eng,2014,['genre fiction'],328,"large, manwoman, people, psychology, relationships, crime, thriller, type",Fiction,large type books,"large, manwoman, people, psychological, relationships, suspense, thrillers, type",Fiction,"Rich people, Kidnapping, Man-woman relationships, Police, Amnesia, Fiction, Fiction, psychological, Fiction, suspense, Chicago (ill.), fiction, Man-woman relationships, fiction, Minnesota, fiction, Fiction, thrillers, suspense, Large type books"
"Fallen Too Far (Too Far, #1)",Abbi Glines,eng,2012,['genre fiction'],326,,Unknown,,,Fiction,
Landline,Rainbow Rowell,eng,2014,['genre fiction'],326,"american, bestseller, century, contemporary, family, family, life, manwoman, married, new, people, relationships, reviewed, romance, times, women, american",Fiction,new york times bestseller,"american, bestseller, century, contemporary, families, family, life, manwoman, married, new, people, relationships, reviewed, romance, times, women, york",Fiction,"FICTION / Family Life, FICTION / Contemporary Women, Man-woman relationships, Married people, Family life, Fiction, Families, Family life -- Fiction, Romance fiction, American fiction -- 21st century, nyt:hardcover-fiction=2014-07-27, New York Times bestseller, New York Times reviewed, Fiction, family life, general, Married people, fiction, Fiction, women, Fiction, romance, contemporary, Man-woman relationships, fiction"
Tempted,"P.C. Cast, Kristin Cast",eng,2008,['fiction'],325,"author, drama, drama, english, evil, german, good, history, into, one, open_syllabus_project, philosophy, translation, works",Non-fiction,good and evil,"author, drama, dramatic, english, evil, german, good, history, into, one, open_syllabus_project, philosophy, translations, works",Fiction,"Ethics, Philosophy, Translations into English, Good and evil., German Philosophy, Asceticism, Good and evil, Nonfiction, open_syllabus_project, Continental european drama (dramatic works by one author), Philosophy, German, Morale, Philosophie, Ethics (philosophy), History & Surveys, Modern, Good & evil"
No Country for Old Men,Cormac McCarthy,eng,2005,['genre fiction'],323,"american, author, fiction, language, large, materials, novel, one, psychology, spanish, crime, thriller, type, works",Fiction,large type books,"american, author, fictional, language, large, materials, novela, one, psychological, spanish, suspense, thrillers, type, works",Fiction,"Fiction, Drug traffic, Sheriffs, Treasure-trove, Treasure troves, Suspense fiction, Literature, Psychological fiction, Fiction, suspense, Fiction, psychological, Texas, fiction, Large type books, Spanish language materials, Tráfico de drogas, Novela, Tesoros ocultos, Policía, American fiction, Texas, Fiction, thrillers, suspense, American fiction (fictional works by one author)"
Wolf Hall,Hilary Mantel,eng,2009,['genre fiction'],321,"award, bestseller, book, british, fiction, great, history, history, history, relationships, new, novel, relationships, reviewed, roman, roman, times, award, works, american",Fiction,new york times bestseller,"award, bestseller, book, britain, fictional, great, histoire, historical, history, interpersonal, new, nouvelles, relations, reviewed, roman, romans, times, winner, works, york",Fiction,"Biographical fiction, Fiction, History, Man Booker Prize Winner, award:national_book_critics_circle_award=fiction, award:national_book_critics_circle_award=2009, award:man_booker_prize=2009, New York Times bestseller, Historical Fiction, National Book Critics Circle Award Winner, nyt:trade_fiction_paperback=2010-08-29, Fictional Works, National book critics circle award, Fiction, historical, Great britain, fiction, Interpersonal relations, Court and courtiers, Courts and courtiers, Politik, New York Times reviewed, Fiction, historical, general, Historischer Roman, Englisch, Romans, nouvelles, Histoire"
Howl's Moving Castle,Diana Wynne Jones,eng,1986,['genre fiction'],318,"character, children, fantasy, fiction, youth, fantasy, family, the, fantasy, youth",Fiction,fantasy,"character, childrens, fantasy, fictitious, juvenile, magic, sisters, the, wizards, young",Fiction,"Blessing and cursing, Castles, Fantasy, Fiction, Witches, Wizards, deamons, magic, Sisters, Fantasy fiction, Children's fiction, Wizards, fiction, Howl, the magician (fictitious character), fiction, Young adults, Juvenile fiction"
Dreamcatcher,"Stephen King, William Olivier Desmond",fre,2001,['genre fiction'],316,"accessible, american, book, daisy, fantasy, friendship, horror, large, life, literature, literature, novel, novel, private, psychology, roman, roman, spanish, stories, crime, type",Fiction,large type books,"accessible, american, book, daisy, fantasy, friendship, horror, large, life, literary, literatura, nouvelles, novela, protected, psychological, roman, romans, spanish, stories, suspense, type",Fiction,"male friendship, life on other planets, telepathy, Down Syndrome, psychological fiction, extraterrestrial beings, hunting, friendship, Fiction, Human-alien encounters, Fear, Fantasy Fiction, Roman fantastique, Audiobooks, hunting stories, camping, Fiction, horror, Maine, fiction, American literature, LITERATURE, NOVEL, Horror fiction, Science/Fantasy Fiction, Fiction, suspense, Spanish fiction, Literatura estadounidense, Novela, Rencontres avec les extraterrestres, Romans, nouvelles, Seres extraterrestres, Protected DAISY, Accessible book, General & Literary Fiction, Horror & ghost stories, Literary, Fiction - Horror, Movie/Tv Tie-Ins, Horror - General, Fiction / Literary, Movie-TV Tie-In - General, Suspense, Large print books, Fiction / General, Large type books"
Walden; or Life in the Woods,Henry David Thoreau,eng,1854,['nonfiction'],315,"american, author, biography, biography, century, civilization, classic, conduct, criticism, customs, english, history, youth, language, large, life, literature, manners, philosophy, social, american, the, travel, type, american",Non-fiction,large type books,"american, authors, autobiography, biography, century, civil, classic, conduct, criticism, customs, english, history, juvenile, language, large, life, literary, manners, philosophy, social, states, the, travel, type, united",Non-Fiction,"Biography, Homes and haunts, American Authors, Social life and customs, Solitude, Natural history, Wilderness areas, Philosophy, English essays, Wildnerness areas, Classic Literature, Fiction, Essays, Nonfiction, Homes, Manners and customs, Authors, biography, Philosophy, modern, 19th century, Conduct of life, Massachusetts, politics and government, Massachusetts, social life and customs, Natural history, united states, Philosophy of nature, Lakes, Aesthetic realism, Philosophy, american, Literature, collections, Authors, american, Literary, American, English language, Walden (Thoreau, Henry David), Walden or life in the woods (Thoreau), Civil disobedience, Resistance to Government, American literature, Indexes, Juvenile literature, Large type books, Résistance au gouvernement, Alternativbewegung, Gewaltloser Widerstand, On the duty of civil disobedience (Thoreau), Civil disobedience (Thoreau, Henry David), Massachusetts, description and travel, Fiction, general, Loneliness, Mœurs et coutumes, Réserves de la vie sauvage, Sciences naturelles, Écrivains américains, Biographies, BIOGRAPHY & AUTOBIOGRAPHY, LITERARY CRITICISM, Thoreau, henry david, 1817-1862, Thoreau, Henry David, 1817-1862 -- Homes and haunts -- Massachusetts -- Walden Woods, Natural history -- Massachusetts -- Walden Woods, Wilderness areas -- Massachusetts -- Walden Woods, Authors, American -- 19th century -- Biography, Walden Woods (Mass.) -- Biography, Walden Woods (Mass.) -- Social life and customs, Massachusetts -- Walden Woods, Nature"
The Remains of the Day,Kazuo Ishiguro,eng,1989,['nonfiction'],313,"author, british, british, fiction, history, history, irish, manwoman, one, reading, relationships, romance, social, award, works",Fiction,history,"author, british, england, fictional, historical, history, irish, manwoman, one, readers, relationships, romance, social, winner, works",Non-Fiction,"Man Booker Prize Winner, award:man_booker_prize=1989, Literature, Household employees, Butlers, Country homes, Domestics, Fiction, Country homes -- Fiction, Man-woman relationships, History, Romance fiction, Historical fiction, Man-woman relationships, fiction, Fiction, historical, British and irish fiction (fictional works by one author), England, fiction, Readers, Diener, Fiction, historical, general, Social classes, Country homes--history, Country homes--england--history--20th century--fiction, Man-woman relationships--england--fiction, Household employees--england--fiction, Pr6059.s5 r46 1993x"
The Best of Me,Nicholas Sparks,en-US,2010,['genre fiction'],311,"bestseller, contemporary, domestic, fiction, relationships, language, life, love, manwoman, married, materials, new, novel, people, reading, relationships, relationships, romance, spanish, stories, times, women, american",Fiction,new york times bestseller,"bestseller, contemporary, domestic, ficción, interpersonal, language, life, love, manwoman, married, materials, new, novela, persons, reading, relations, relationships, romance, spanish, stories, times, women, york",Fiction,"New York Times bestseller, First loves, Fiction, nyt:hardcover_fiction=2012-02-18, Man-woman relationships, Middle-aged persons, Fiction, romance, contemporary, Man-woman relationships, fiction, North carolina, fiction, City and town life, Man-woman relationship, Middle aged persons, Romance fiction, Interpersonal relations, Married women, Domestic fiction, Free will and determinism, Personas de mediana edad, Relaciones hombre-mujer, Primeros amores, Ficción, Cuentos de amor, VFicción, Love stories, nyt:trade-fiction-paperback=2012-08-26, Novela, Spanish language, Reading materials"
The Sense of an Ending,Julian Barnes,eng,2011,['genre fiction'],310,"author, bestseller, british, english, fiction, friendship, irish, large, life, men, new, one, psychology, times, type, works, american",Fiction,large type books,"author, bestseller, british, english, fictional, friendship, irish, large, life, men, new, one, psychological, times, type, works, york",Fiction,"Middle-aged men, Life change events, Male friendship, Fiction, Middle aged men, Friendship, Psychological fiction, Memory, New York Times bestseller, nyt:hardcover_fiction=2012-02-04, Fiction, psychological, Friendship, fiction, British and irish fiction (fictional works by one author), Large type books, 18.05 English literature"
A is for Alibi,Sue Grafton,en-US,1982,['genre fiction'],310,"adult, character, detective, english, fiction, fantasy, investigators, language, large, library, mystery, open, picks, place, private, reading, staff, stories, education, education, type, women",Fiction,large type books,"adult, character, detective, english, fictitious, imaginary, investigators, language, large, library, mystery, open, picks, place, private, readers, staff, stories, study, teaching, type, women",Fiction,"Foreign speakers, Detective and mystery stories, Private investigators in fiction, Women private investigators, Open Library Staff Picks, Private investigators, English language, Fiction, Study and teaching, Readers (Adult), Women detectives in fiction, Women private investigators in fiction, California in fiction, Women detectives, Kinsey Millhone (Fictitious character), Millhone, kinsey (fictitious character), fiction, Fiction, mystery & detective, women sleuths, Private investigators, fiction, Santa teresa (calif. : imaginary place), fiction, California, fiction, Large type books, FICTION / Mystery & Detective / Private Investigators, FICTION / Mystery & Detective / Women Sleuths, Mystery fiction, Mystery and detective stories"
ÎŸá¼°Î´Î¯Ï€Î¿Ï…Ï‚ Î¤ÏÏÎ±Î½Î½Î¿Ï‚,"Sophocles, J.E. Thomas",eng,-430,['genre fiction'],308,"author, criticism, english, from, history, into, language, manuscripts, one, poetry, relationships, russian, translation, works",Unknown,history,"author, criticism, english, from, history, into, language, manuscripts, one, poetry, relations, russian, translations, works",Fiction,"Persian poetry, Facsimiles, Translations into Kannada, Persian Manuscripts, Manuscripts, Translations into Romany, Persian Quatrains, Translations into Russian, Iranian Miniature painting, Translations into Arabic, Translations into English, Texts, Addresses, essays, lectures, Illustrations, Romani language, Foreign relations, History, Poetry (poetic works by one author), Gedichten, Perzisch, Textual Criticism, English poetry, Translations from Persian"
Shanghai Girls,Lisa See,eng,2009,['nonfiction'],308,"american, bestseller, chinese, family, history, large, life, new, family, times, type, american",Fiction,large type books,"americans, bestseller, chinese, family, historical, large, life, new, sisters, times, type, york",Non-Fiction,"Fiction, Family secrets, Immigrants, Chinese, Sisters, Literature, Historical fiction, Large type books, nyt:trade-fiction-paperback=2010-02-21, New York Times bestseller, Fiction, family life, Sisters, fiction, Chinese americans, fiction, Los angeles (calif.), fiction, Shanghai (china), fiction, Fiction, historical, general"
The Wind in the Willows,"Kenneth Grahame, Gillian Avery",eng,1908,['genre fiction'],305,"adventure, adventure, animals, behavior, character, children, children, comics, british, english, fantasy, fiction, fiction, friendship, graphic, humor, youth, youth, large, life, novel, novel, pictorial, picture, pour, roman, specimens, stories, tales, type, travel, works",Fiction,large type books,"adventure, adventurers, animals, behavior, character, children, childrens, comics, england, english, fantasy, fictional, fictitious, friendship, graphic, humorous, jeunesse, juvenile, large, life, nouvelles, novels, pictorial, picture, pour, romans, specimens, stories, tales, type, voyages, works",Fiction,"Fiction, Animals, Friendship, Juvenile fiction, Toy and movable books, Country life, River life, Specimens, Christmas, Folklore, Pictorial works, Children's stories, English, Stories, Juvenile literature, Toad of Toad Hall (Fictitious character), Legends and stories of Animals, Fairy tales, Mythical Animals, Fantastic fiction, Forests and forestry, Adventure and adventurers, Children: Kindergarten, Children: Grades 3-4, Large type books, Children's fiction, Animals, fiction, Friendship, fiction, England, fiction, Comics & graphic novels, general, Fantasy, Cartoons and comics, Voyages and travels, Home, Hospitality, Children's stories, Toads, Moles, Rats, Badgers, Classical literature, Fantasy fiction, Toad of Toad Hall (Fictional character), Winds, fiction, Country life, fiction, Moles (Animals), Rivers, Landscapes, Disguise, Ethics, Obsessive-compulsive disorder, Self-destructive behavior, Otters, Escapes, Thieves, Weasels, Dwellings, Lost articles, Amitié, Romans, nouvelles, etc. pour la jeunesse, Crapauds, Taupes, Blaireaux, Voyages, Paysages, Déguisement, Morale, Névroses obsessionnelles, Comportement autodestructeur, Loutres, Évasions, Voleurs, Belettes, Habitations, Objets perdus, Moles (animals), fiction, Rats, fiction, Adventure and adventurers, fiction, Rivers, fiction, Humorous stories, Forests and forestry, fiction, Literature and fiction, juvenile, Animals -- Juvenile fiction, Friendship -- Juvenile fiction, Picture books"
The Wind in the Willows,"Kenneth Grahame, Gillian Avery",eng,1908,['genre fiction'],305,"adventure, adventure, animals, behavior, character, children, children, comics, british, english, fantasy, fiction, fiction, friendship, graphic, humor, youth, youth, large, life, novel, novel, pictorial, picture, pour, roman, specimens, stories, tales, type, travel, works",Fiction,large type books,"adventure, adventurers, animals, behavior, character, children, childrens, comics, england, english, fantasy, fictional, fictitious, friendship, graphic, humorous, jeunesse, juvenile, large, life, nouvelles, novels, pictorial, picture, pour, romans, specimens, stories, tales, type, voyages, works",Fiction,"Fiction, Animals, Friendship, Juvenile fiction, Toy and movable books, Country life, River life, Specimens, Christmas, Folklore, Pictorial works, Children's stories, English, Stories, Juvenile literature, Toad of Toad Hall (Fictitious character), Legends and stories of Animals, Fairy tales, Mythical Animals, Fantastic fiction, Forests and forestry, Adventure and adventurers, Children: Kindergarten, Children: Grades 3-4, Large type books, Children's fiction, Animals, fiction, Friendship, fiction, England, fiction, Comics & graphic novels, general, Fantasy, Cartoons and comics, Voyages and travels, Home, Hospitality, Children's stories, Toads, Moles, Rats, Badgers, Classical literature, Fantasy fiction, Toad of Toad Hall (Fictional character), Winds, fiction, Country life, fiction, Moles (Animals), Rivers, Landscapes, Disguise, Ethics, Obsessive-compulsive disorder, Self-destructive behavior, Otters, Escapes, Thieves, Weasels, Dwellings, Lost articles, Amitié, Romans, nouvelles, etc. pour la jeunesse, Crapauds, Taupes, Blaireaux, Voyages, Paysages, Déguisement, Morale, Névroses obsessionnelles, Comportement autodestructeur, Loutres, Évasions, Voleurs, Belettes, Habitations, Objets perdus, Moles (animals), fiction, Rats, fiction, Adventure and adventurers, fiction, Rivers, fiction, Humorous stories, Forests and forestry, fiction, Literature and fiction, juvenile, Animals -- Juvenile fiction, Friendship -- Juvenile fiction, Picture books"
To All the Boys I've Loved Before,Jenny Han,eng,2014,['nonfiction'],301,"adult, american, bestseller, children, customs, family, fiction, girls, youth, youth, language, love, materials, new, novel, romance, family, social, spanish, stories, youth, themes, times, women, american, youth",Fiction,childrens fiction,"adult, american, bestseller, childrens, customs, family, ficción, girls, juvenil, juvenile, language, love, materials, new, novela, romance, sisters, social, spanish, stories, teenage, themes, times, women, york, young",Non-Fiction,"Scandals, Love, Teenage girls, Juvenile fiction, Fiction, Korean American teenagers, Infatuation, Dating (Social customs), Sisters, Love-letters, Love stories, Children's fiction, Love, fiction, Dating (social customs), fiction, Sisters, fiction, nyt:young-adult-hardcover=2015-09-06, New York Times bestseller, YOUNG ADULT FICTION, Family, Siblings, Girls & Women, Romance, General, Social Themes, Dating & Sex, nyt:young-adult-paperback=2016-02-21, Novelas juveniles, Spanish language materials, Ficción juvenil, Citas amorosas, Amor, Novela romántica"
