Book,Author(s),Original language,First published,Genre,Approximate sales (millions), All Subjects,Book_Type,Most common subject phrase,From top 200 phrases,Subjects,Most common subject phrase normalized
Vision in White,Nora Roberts,eng,2009,genre fiction,5940.0,"Weddings, Wedding supplies and services industry, Fiction, Romance, Planning, Female friendship, Love stories, American, Large type books, English teachers, Women photographers, Fiction, romance, contemporary, nyt:trade-fiction-paperback=2009-05-17, New York Times bestseller, Love stories",Fiction,large type books,"american, contemporary, large type books, love stories, new york times bestseller, romance","american, contemporary, large type books, love, new york times bestseller, romance",large type books
The Tenth Circle,Jodi Picoult,eng,2006,genre fiction,5940.0,"Date rape, Psychological fiction, Rape victims, Comic books, strips, Fathers and daughters, Authorship, Fiction, Domestic fiction, Large type books, Technique, Rape, Family, nyt:trade-fiction-paperback=2008-07-13, New York Times bestseller, Fathers and daughters, fiction, Fiction, psychological, Fiction, family life, general, Maine, fiction, Caricatures and cartoons",Fiction,large type books,"comic books, domestic fiction, family, family life, fathers and daughters, large type books, new york times bestseller, psychological, psychological fiction, strips","comic books, domestic fiction, family, fathers and daughters, large type books, new york times bestseller, psychological, psychological fiction, strips",large type books
The Throne of Fire,Rick Riordan,eng,2011,nonfiction,5913.0,"Voyages and travels, Magic, Brothers and sisters, Adventure and adventurers, Large type books, Egyptian Mythology, Fiction, New York Times bestseller, Juvenile fiction, Fantasy, Siblings, nyt:chapter_books=2011-08-06, Quests (Expeditions), Ra (Egyptian deity), Egyptian Eschatology, Action & Adventure, Other, Science Fiction, Fantasy, Magic, Mythology, Secrets, Secrecy, Fantasy & Magic, Legends, Myths, Fables, Magia, Spanish language materials, Encubrimiento, Aventuras, Viajes, Hermanos, Ficción juvenil, Children's fiction, Adventure and adventurers, fiction, Voyages and travels, fiction, Brothers and sisters, fiction, Magic, fiction, Fantasy fiction, Carter Kane (Fictitious character), Comic books, strips, Sadie Kane (Fictitious character), Children's stories, American, Mythologie égyptienne, Romans, nouvelles, etc. pour la jeunesse, Frères et sœurs, Voyages, Quête, Eschatologie égyptienne, Histoires pour enfants américaines, Romans, nouvelles, Livres en gros caractères, Large print books, Egyptian, rick riordan, egyptian magicians, Abenturak, -Eleberriak, -Haur eta gazteentzako liburuak, -Novelas, -Libros infantiles y juveniles, Egiptoko mitologia, Mitología egipcia, Senideak, Siblings, fiction",Fiction,large type books,"action  adventure, adventure and adventurers, american, brothers and sisters, childrens fiction, childrens stories, comic books, etc pour la jeunesse, fantasy, fantasy fiction, ficción juvenil, juvenile fiction, large type books, magic, new york times bestseller, nouvelles, romans, science fiction, siblings, spanish language materials, strips, voyages and travels","action  adventure, adventure and adventurers, american, brothers and sisters, childrens fiction, childrens stories, comic books, etc pour la jeunesse, fantasy, fantasy fiction, juvenile fiction, large type books, magic, new york times bestseller, nouvelles, romans, science fiction, siblings, spanish language, strips, voyages and travels",large type books
Old Man's War,John Scalzi,eng,2005,genre fiction,5913.0,"Space warfare, Life on other planets in fiction, Older men, Science Fiction, Soldiers in fiction, Older men in fiction, Space colonies in fiction, Life on other planets, Soldiers, Space colonies, Fiction, Space warfare in fiction, Long Now Manual for Civilization, Fiction, war & military, Fiction, science fiction, general",Fiction,science fiction,"long now manual for civilization, science fiction, war  military","long now manual for civilization, science fiction, war  military",science fiction
Gerald's Game,Stephen King,eng,1992,fiction,5886.0,"Horror tales, Fiction, Horror, Horror fiction, American fiction, married people, sexual behavior, women, fear, Adult child sexual abuse victims, incest, Sadomasochism, terror, Translations into German, Large type books, Fiction, horror, New York Times reviewed, Mental illness, FICTION / Horror, FICTION / Literary, Castle Rock (Me. : Imaginary place), Sexualité dans le mariage, Romans, nouvelles, Peur, Castle Rock (Maine : Imaginary place), Burlingame, jessie (fictitious character), fiction, Maine, fiction, Mystery & Detective - General, Fiction - Mystery/ Detective",Fiction,large type books,"american fiction, fiction  literary, horror, horror fiction, horror tales, large type books, married people, new york times reviewed, nouvelles, romans, women","american fiction, fiction  literary, horror, horror fiction, horror tales, large type books, marriage, new york times reviewed, nouvelles, romans, women",large type books
Two for the Dough,Janet Evanovich,eng,1996,nonfiction,5886.0,"Bounty hunters, Fiction, Stephanie Plum (Fictitious character), Women detectives, Mystery fiction, Private investigators, Detective and mystery stories, Large type books, Fiction, mystery & detective, women sleuths, Plum, stephanie (fictitious character), fiction, Trenton (n.j.), fiction, Fiction, humorous, nyt:e-book-fiction=2012-02-19, New York Times bestseller, Fiction, humorous, general, Fiction, thrillers, crime, Fiction, crime, Fiction, media tie-in",Fiction,large type books,"crime, detective and mystery stories, humorous, large type books, mystery  detective, mystery fiction, new york times bestseller, private investigators, thrillers, women sleuths","crime, detective and mystery stories, humorous, large type books, mystery  detective, mystery fiction, new york times bestseller, private investigators, thriller, women sleuths",large type books
The Joy of Cooking,"Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker",,1931,fiction,5859.0,"Cookbook, American Cookery, Appetizers, Barbecue cookery, Breakfasts, Brunches, Canning and preserving, Cocktails, Cookery (Chicken), Cookery (Pasta), Cookery (Salad dressing), Miniature books, Pies, Salad dressing, Salads, Soups, Specimens, Stews, Vegetarian cookery, cooking, Kookkunst, American Cooking, Cooking (Chicken), Barbecuing, Long Now Manual for Civilization, Cooking, American, Cooking (Pasta), Vegetarian cooking, Cookies, Desserts, Baked products, Cooking (Salad dressing), Tx715 .r7499 1998, Tx715 .r75 1997, 641.5973",Unknown,american,"american, long now manual for civilization, miniature books, specimens","american, long now manual for civilization, miniature books, specimens",american
The Joy of Cooking,"Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker",,1931,fiction,5859.0,"Cookbook, American Cookery, Appetizers, Barbecue cookery, Breakfasts, Brunches, Canning and preserving, Cocktails, Cookery (Chicken), Cookery (Pasta), Cookery (Salad dressing), Miniature books, Pies, Salad dressing, Salads, Soups, Specimens, Stews, Vegetarian cookery, cooking, Kookkunst, American Cooking, Cooking (Chicken), Barbecuing, Long Now Manual for Civilization, Cooking, American, Cooking (Pasta), Vegetarian cooking, Cookies, Desserts, Baked products, Cooking (Salad dressing), Tx715 .r7499 1998, Tx715 .r75 1997, 641.5973",Unknown,american,"american, long now manual for civilization, miniature books, specimens","american, long now manual for civilization, miniature books, specimens",american
The Forever War,Joe Haldeman,eng,1974,genre fiction,5859.0,"Aging, Hugo Award Winner, Fiction in English, Aging in fiction, Space and time, Fiction, Space and time in fiction, Space warfare, Science fiction comic books, strips, award:hugo_award=1976, Space warfare in fiction, award:hugo_award=novel, Long Now Manual for Civilization, Fiction, science fiction, military, Fiction, science fiction, hard science fiction, Mandella, william (fictitious character), fiction, Human-alien encounters, award:nebula_award=novel, Comic books, strips, Comics & graphic novels, science fiction, Envejecimiento, Ficción, Espacio y tiempo, Science-fiction americaine",Fiction,science fiction,"comic books, comics  graphic novels, ficción, fiction in english, long now manual for civilization, science fiction, strips","comic books, comics  graphic novels, fiction, fiction in english, long now manual for civilization, science fiction, strips",science fiction
Insomnia,"Stephen King, Bettina Blanch Tyroller",spa,1994,genre fiction,5859.0,"Bram Stoker Award for Best Novel, suspense, Suspense Thriller, Open Library Staff Picks, Horror, Insomnia, Fiction, Horror fiction, Fiction, horror, Maine, fiction, Roberts, ralph (fictitious character), fiction, People with disabilities, fiction, Large type books, Horror tales, Suspense fiction, FICTION / Media Tie-In, FICTION / Thrillers / Supernatural, FICTION / Thrillers / Suspense, Parapsychologie, Romans, nouvelles, Fantasy fiction, Roman fantastique, Accessible book, Protected DAISY",Fiction,large type books,"accessible book, fantasy fiction, horror, horror fiction, horror tales, large type books, nouvelles, open library staff picks, protected daisy, romans, suspense, suspense fiction","accessible book, fantasy fiction, horror, horror fiction, horror tales, large type books, nouvelles, open library staff picks, protected daisy, romans, suspense, suspense fiction",large type books
Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,eng,2003,genre fiction,5805.0,"Study and teaching (Higher), English literature, Books and reading, Women college teachers, Social conditions, Women, Biography, History, Teachers, biography, College teachers, Iran, biography, English literature, study and teaching, Women, iran, Group reading, English teachers, Biographies, Femmes et littérature, Littérature et société, Récits personnels, Iran, Conditions sociales, Iran, history, American literature, study and teaching",Unknown,history,"american literature, biographies, biography, books and reading, english literature, history, social conditions, study and teaching, women","american literature, biography, books and reading, english literature, history, social conditions, study and teaching, women",history
The Blade Itself,Joe Abercrombie,eng,2006,genre fiction,5805.0,"Fiction, fantasy, general, Fantasy fiction, Fantasy, Fiction",Fiction,fantasy,"fantasy, fantasy fiction","fantasy, fantasy fiction",fantasy
The Arctic Incident,Eoin Colfer,eng,2002,nonfiction,5805.0,"science fiction, Secuestro, Mothers and sons, Kidnapping, Magic, Magia, Juvenile fiction, Padre e hijos, Fairies, Fathers and sons, Fiction, Novela juvenil, Hadas, Padre e hijo, Ficción juvenil, Children's fiction, Fowl, artemis (fictitious character), fiction, Kidnapping, fiction, Mothers and sons, fiction, Fairies, fiction, Magic, fiction, England, fiction, Fantasy fiction, Father-son relationship, Leprechauns, Fathers and sons, fiction, Large type books, Artemis Fowl (Fictitious character), New York Times bestseller, nyt:series_books=2008-06-22, Parent and child, Fantasy, Adventure stories, Gifted children, Mythical Animals, Father son relationships, Children's stories, Irish, Fées, Romans, nouvelles, etc. pour la jeunesse, Mères et fils, Action & Adventure, General, Boys & Men, Fantasy & Magic, Legends, Myths, Fables, Science & Technology, Mother-son relationship, Sprookjesfiguren, Ierland, Jeugdboeken ; verhalen",Fiction,large type books,"action  adventure, adventure stories, childrens fiction, childrens stories, england, etc pour la jeunesse, fantasy, fantasy fiction, fathers and sons, ficción juvenil, juvenile fiction, large type books, magic, new york times bestseller, nouvelles, novela juvenil, parent and child, romans, science fiction","action  adventure, adventure stories, childrens fiction, childrens stories, england, etc pour la jeunesse, fantasy, fantasy fiction, fathers and sons, juvenile fiction, large type books, magic, new york times bestseller, nouvelles, novela juvenil, parent and child, romans, science fiction",large type books
The Shipping News,Annie Proulx,eng,1993,genre fiction,5778.0,"Domestic fiction, Family, Fiction, American literature, Families, National Book Award Winner, Women authors, award:national_book_award=1993, award:national_book_award=fiction, United States, English fiction, Newfoundland and Labrador -- Fiction., Livres en gros caractères, Large type books, Counselors, Supervision of, Psychotherapy, Education, POLITICAL SCIENCE, Public Policy, Social Services & Welfare, SOCIAL SCIENCE, Human Services, Supervision, Beratung, Fiction, family life, Newfoundland and labrador, fiction, Fiction, family life, general, Journalists, fiction",Fiction,large type books,"american literature, domestic fiction, english fiction, families, family, family life, large type books, united states","american literature, domestic fiction, english fiction, family, large type books, united states",large type books
äººç”ŸãŒã¨ãã‚ãç‰‡ã¥ã‘ã®é­”æ³•,"Marie KondÅ, Cathy Hirano",eng,2011,genre fiction,5751.0,,Unknown,,,,
All the Bright Places,"Jennifer Niven, ÙØ±Ø§Ù†Ú© Ù…Ø¹Ù†ÙˆÛŒ",eng,2015,genre fiction,5751.0,"Suicide, Friendship, Emotional problems, Fiction, Children's fiction, Friendship, fiction, Suicide, fiction, Emotions, fiction, Indiana, fiction, nyt:young-adult-hardcover=2015-08-30, New York Times bestseller, New York Times reviewed, Juvenile fiction, Teenagers, Suicidal behavior, Sisters, Death, Manic-depressive illness in adolescence, Emotional problems of teenagers, Traffic accident victims, Family relationships, YOUNG ADULT FICTION, Romance, Social Themes, Death & Dying, Depression, Amerikanisches Englisch, Bullying, nyt:young-adult-paperback-monthly=2020-03-08, Young adult fiction, social themes, death, grief, bereavement, Young adult fiction, romance, general, Young adult fiction, social themes, depression",Fiction,childrens fiction,"amerikanisches englisch, childrens fiction, death, friendship, juvenile fiction, new york times bestseller, new york times reviewed, romance, sisters, social themes, young adult fiction","amerikanisches englisch, childrens fiction, death, friendship, juvenile fiction, new york times bestseller, new york times reviewed, romance, sisters, social themes, young adult fiction",childrens fiction
DÃ©jÃ  Dead,Kathy Reichs,eng,1997,genre fiction,5751.0,,Unknown,,,,
The Alchemyst: The Secrets of The Immortal Nicholas Flamel,Michael Scott,eng,2007,genre fiction,5724.0,"Children's fiction, Magic, fiction, Supernatural, fiction, Brothers and sisters, fiction, Twins, fiction, San francisco (calif.), fiction, Occultism, fiction, Juvenile fiction, Alchemists, Twins",Fiction,childrens fiction,"brothers and sisters, childrens fiction, juvenile fiction, magic, supernatural","brothers and sisters, childrens fiction, juvenile fiction, magic, supernatural",childrens fiction
The Marriage Plot,Jeffrey Eugenides,eng,2011,genre fiction,5697.0,"Appreciation, Triangles (Interpersonal relations), Literature, Self-actualization, Fiction, New York Times bestseller, nyt:hardcover_fiction=2012-01-07, Self-actualization (Psychology), Littérature, Triangle (Relations humaines), Self-realization, Actualisation de soi, Fate and fatalism, Interpersonal relations, Romans, nouvelles, Friendship, Appréciation, Fiction, psychological, Fiction, romance, contemporary, Man-woman relationships, fiction, Large type books, nyt:trade-fiction-paperback=2012-09-23, New York Times reviewed, Women college students",Fiction,large type books,"contemporary, friendship, interpersonal relations, large type books, literature, manwoman relationships, new york times bestseller, new york times reviewed, nouvelles, psychological, romance, romans","contemporary, friendship, interpersonal relations, large type books, literature, manwoman relationships, new york times bestseller, new york times reviewed, nouvelles, psychological, romance, romans",large type books
Hija de la fortuna,"Isabel Allende, Margaret Sayers Peden",eng,1998,genre fiction,5697.0,"Gold mines and mining, Fiction, History, Social life and customs, Manners and customs, Open Library Staff Picks, Gold mines and mining in fiction, California in fiction, Love stories, Historical fiction, Gold discoveries, Frontier and pioneer life, Chilean fiction, Gold miners, Voyages to the Pacific coast, Vida, Frontera y exploradores, Ficción, Descubrimiento de oro, Goldrausch, German fiction, Translations from Spanish, Chile, fiction, Hispanic americans, fiction, San francisco (calif.), fiction, Fiction, historical, Fiction, general, Aventura, Novela, Vida fronteriza, California, New York Times reviewed, Fiction, historical, general, California, fiction, Mothers and daughters, fiction, Fiction, romance, general, Fiction, action & adventure, Fiction, thrillers, suspense, Romance literature, Large type books, Or, Romans, nouvelles, Mines et extraction, Mœurs et coutumes, Littérature espagnole, Roman, Mineros, Vida social y costumbres, Minas de oro, Descubrimientos de oro",Fiction,large type books,"action  adventure, ficción, historical, historical fiction, history, large type books, love stories, manners and customs, mothers and daughters, new york times reviewed, nouvelles, novela, open library staff picks, roman, romance, romans, social life and customs, suspense, thrillers","action  adventure, fiction, historical, historical fiction, history, large type books, love, manners and customs, mothers and daughters, new york times reviewed, nouvelles, novel, open library staff picks, romance, romans, social life and customs, suspense, thriller",large type books
Luckiest Girl Alive,Jessica Knoll,eng,2015,genre fiction,5670.0,,Unknown,,,,
"Crank (Crank, #1)",Ellen Hopkins,eng,2004,genre fiction,5643.0,,Unknown,,,,
The Raven Boys,Maggie Stiefvater,eng,2012,nonfiction,5643.0,"Children's fiction, Magic, fiction, Extrasensory perception, fiction, Occultism, fiction, Occultism, Magic, Clairvoyance, Paranormal fiction, Juvenile fiction, Fiction, Private schools, Leys, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, nyt:chapter-books=2012-10-07, New York Times bestseller",Fiction,childrens fiction,"childrens fiction, juvenile fiction, magic, new york times bestseller, reading levelgrade 10, reading levelgrade 11, reading levelgrade 12, reading levelgrade 7, reading levelgrade 8, reading levelgrade 9","childrens fiction, juvenile fiction, magic, new york times bestseller, others",childrens fiction
I Am Legend and Other Stories,Richard Matheson,eng,1954,genre fiction,5616.0,"Fiction, horror, Vampires, fiction, Fiction, science fiction, general, Vampires, Fiction, Horror",Fiction,science fiction,"horror, science fiction, vampires","horror, science fiction, vampires",science fiction
Olive Kitteridge,Elizabeth Strout,eng,2008,genre fiction,5616.0,"Retired teachers, screen play, Fiction, New York Times bestseller, City and town life, Large type books, New York Times reviewed, Maine, fiction, Fiction, short stories (single author), Teachers, fiction, Fictional Works, Screen play, New york times bestseller, New york times reviewed, Retired women",Fiction,large type books,"fictional works, large type books, new york times bestseller, new york times reviewed","fictional works, large type books, new york times bestseller, new york times reviewed",large type books
Not that Kind of Girl,"Lena Dunham, Joana Avillez",eng,2014,nonfiction,5616.0,"Interpersonal relations, Dating (Social customs), High schools, Schools, Juvenile fiction, Fiction, Children's fiction, Friendship, fiction, Schools, fiction, Interpersonal relations, fiction, Dating (social customs), fiction, Preparatory schools",Fiction,childrens fiction,"childrens fiction, friendship, interpersonal relations, juvenile fiction, schools","childrens fiction, friendship, interpersonal relations, juvenile fiction, schools",childrens fiction
Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,eng,2001,genre fiction,5589.0,"business, Leadership, Technological innovations, Management, Strategic planning, Organizational change",Unknown,business,,,business
Fire,Kristin Cashore,en-US,2009,genre fiction,5535.0,"orphans, foster homes, Waisenkind, Intrige, Wiederbelebung, Bewährung, Wettkampf, Junge, Sport, Rettung, Jugendbuch, Mord, magier, fictitious schools, juvenile works, juvenile audience, juvenile literature, children's stories, Fiction, Hugo Award Winner, Wizards, New York Times bestseller, nyt:series_books=2006-09-16, Schools, award:hugo_award=novel, School, Magic, Open Library Staff Picks, Sorcellerie, Écoles, award:hugo_award=2001, Sorciers, Romans nouvelles etc. pour la jeunesse, Hogwarts School of Witchcraft and Wizardry (Imaginary organization), Hermione Granger (Fictitious character), Juvenile fiction, Ron Weasley (Fictitious character), Harry Potter (Fictitious character), Magia, Magos, Ficción juvenil, Escuelas, Ficción, Translations from English, Magi, Chinese fiction, Family, Fantasy fiction, Hogwarts School of Witchcraft and Wizardry (Imaginary place), Orphans & Foster Homes, Social Themes, Fantasy & Magic, Friendship, Hugo Award, School stories, Harry Potter (Fictional character), Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Large type books, Potter, harry (fictitious character), fiction, Children's fiction, England, fiction, Schools, fiction, Wizards, fiction, Magic, fiction, Hogwarts school of witchcraft and wizardry (imaginary organization), fiction, English literature, Potter, harry (fictitious character), Fantasy, Juvenile films, Drama, Películas cinematográficas juveniles, Film adaptations, Hechiceros, Potter, Harry (Personaje literario), Novela juvenil, Inglaterra, Novelas inglesas, Children's stories, English, Adventure and adventurers, fiction, Action & Adventure, Friendship, fiction, Poudlard (Organisation imaginaire), Romans, nouvelles, etc. pour la jeunesse, French language, Reading materials, Korean language materials, English Fantasy literature, Translations into Marathi, Bengali detective and mystery stories",Fiction,large type books,"action  adventure, adventure and adventurers, childrens fiction, childrens stories, drama, england, english, english literature, etc pour la jeunesse, family, fantasy, fantasy fiction, ficción, ficción juvenil, friendship, juvenile fiction, juvenile literature, juvenile works, large type books, magic, new york times bestseller, nouvelles, novela juvenil, open library staff picks, orphans, potter, reading levelgrade 10, reading levelgrade 11, reading levelgrade 12, reading levelgrade 9, romans, schools, social themes, translations from english, wizards","action  adventure, adventure and adventurers, childrens fiction, childrens stories, drama, england, english, english literature, etc pour la jeunesse, family, fantasy, fantasy fiction, fiction, friendship, juvenile fiction, juvenile literature, juvenile works, large type books, magic, new york times bestseller, nouvelles, novela juvenil, open library staff picks, orphans, others, potter, romans, schools, social themes, translations from english, wizards",large type books
En attendant Godot,Samuel Beckett,eng,1952,genre fiction,5481.0,"French drama, Translations into English, Translations from French, English drama, Notebooks, sketchbooks, German drama, Translations into German, Textual Criticism, French literature, Tramps, Drama, Tragedy, Beckett, samuel, 1906-1989, Criterion Theatre (London, England), British and irish drama (dramatic works by one author), Translations into Nahuatl, Translations into Spanish, Beckett, samuel , 1906-1989, French literature--translations into english, Pq2603.e378 e53, Pr6003.e282 e53 1982, 842.91, 822.91",Unknown,drama,"drama, translations into english","drama, translations into english",drama
White Fang,Jack London,eng,1906,genre fiction,5481.0,"Gold discoveries, Wolfdogs, Classic Literature, American Adventure stories, Open Library Staff Picks, Juvenile fiction, Fiction, Gold mines and mining, Historical Fiction, Wolves, Human-animal relationships, Juvenile Literature, Dogs, Thriller, Accelerated Reader, Mensch, Survival, Children: Grades 4-6, Children: Grades 3-4, Children's fiction, Wolves, fiction, Gold mines and mining, fiction, American fiction (fictional works by one author), Dogs, fiction, Canada, fiction, Indians of North America, Large type books, Loups, Romans, nouvelles, etc. pour la jeunesse, Chiens, Pôle Nord, Romans, Adventure stories, Nature, fiction, Fiction, action & adventure, Fiction, historical, general, Human-animal relationships, fiction, History, Wolfdogs -- Fiction, Canada, Northern -- Fiction, Wilderness survival, fiction, Alaska, fiction, Yukon, fiction, California, fiction, Dogs, juvenile literature, Adventure and adventurers, fiction",Fiction,large type books,"action  adventure, adventure and adventurers, adventure stories, childrens fiction, classic literature, etc pour la jeunesse, historical, historical fiction, history, juvenile fiction, juvenile literature, large type books, nouvelles, open library staff picks, romans, survival, thriller","action  adventure, adventure and adventurers, adventure stories, childrens fiction, classics, etc pour la jeunesse, historical, historical fiction, history, juvenile fiction, juvenile literature, large type books, nouvelles, open library staff picks, romans, survival, thriller",large type books
Wolves of the Calla,"Stephen King, Bernie Wrightson",eng,2003,genre fiction,5454.0,"lightsabers, snitches, androids, Action and adventure fiction, Adventure fiction, epic fiction, Fiction, Heroes, Good and evil, Fantasy fiction, Adventure stories, Good and evil -- Fiction, thrillers, supernatural, fantasy, dark fantasy, Roland (Fictitious character), Science fiction, fantasy, horror, Fiction, fantasy, epic, Roland (fictitious character : king), fiction, Dark tower (imaginary place), fiction, Chang pian xiao shuo, Fiction, fantasy, general, Roland (Fictitious character : King), Maine in fiction, German language materials, Translations into German, American fiction, King, Stephen - Prose & Criticism, Fiction - Fantasy, Fantasy - Dark/Horror, Fiction / General, Fantasy - General",Fiction,fantasy,"adventure fiction, adventure stories, american fiction, chang pian xiao shuo, epic, fantasy, fantasy fiction, fiction  general, good and evil, heroes, horror, science fiction, supernatural, thrillers","adventure fiction, adventure stories, american fiction, epic, fantasy, fantasy fiction, fiction  general, good and evil, heroes, horror, long fiction, science fiction, supernatural, thriller",fantasy
His Dark Materials,Philip Pullman,eng,2000,genre fiction,5454.0,"Political theology, Polar bears, Kidnapping, Adventure stories, Children and adults, Open Library Staff Picks, Juvenile fiction, Fantasy, Experiments, Witches, Missing persons, Fiction, Belacqua, Lyra (Personaje literario), Bien y mal, Children, Experimentos, Ficción juvenil, Good and evil, Imaginary places, Lugares imaginarios, Lyra Belacqua (Fictitious character), Magia, Magic, Niños, Novela fantástica, Novela fantástica inglesa, Novela juvenil, Parry, Will (Personaje literario), Personas desaparecidas, Quests (Expeditions), Secuestro, Traducciones al español, Will Parry (Fictitious character), Artic regions, Belacqua, Lyra (Fictitious character) -- Juvenile fiction, Missing persons -- Experiments -- Juvenile fiction, Kidnapping -- Juvenile fiction, Young adult fiction, JUVENILE FICTION -- Action & Adventure, JUVENILE FICTION -- Fantasy & Magic, JUVENILE FICTION -- Social Themes -- Self-Esteem & Self-Reliance, Belacqua, Lyra (Fictitious character), Missing persons -- Experiments, Missing persons -- Fiction, Kidnapping -- Fiction, Fantasy fiction, Arctic regions -- Juvenile fiction, Arctic Regions, Arctic regions -- Fiction, skjønnlitteratur, adventure, Amitie, Romans, nouvelles, etc. pour la jeunesse, Magie, Personnes disparues, Merveilleux, Romans, Enlevement, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Children's fiction, Belacqua, lyra (fictitious character), fiction, Large type books, Science fiction, fantasy, horror, Orphans, Uncles, Action & Adventure, Action & Adventure - General, Science Fiction, Fantasy, & Magic, Children's 12-Up - Fiction - Fantasy, Children's Books - Young Adult Fiction, Children: Grades 4-6, Children: Young Adult (Gr. 10-12), Children's Books - Young Adult, Children: Young Adult (Gr. 7-9), Science, Demonology, Geographical myths, Mythical Animals, Carnegie Medal, Spanish language materials, General, Teens, Fantasy - General, Fiction - General, Spanish: Adult Fiction, Teenage fiction, Survival, fiction, Spanish language, juvenile literature, Spanish language, readers, Livres en gros caractères, Large print books, The Marvelous, Amitié, Dämon, Entführung, Imaginärer Schauplatz, Kind, Menschenversuch, Mädchen, Zigeuner, Great britain, fiction, Teachers, fiction, English Fantasy fiction, Children's stories, English",Fiction,large type books,"action  adventure, adventure stories, children, childrens fiction, childrens stories, english, etc pour la jeunesse, fantasy, fantasy fiction, ficción juvenil, fiction  general, good and evil, great britain, horror, juvenile fiction, juvenile literature, large type books, magic, missing persons, nouvelles, novela juvenil, open library staff picks, orphans, readers, reading levelgrade 10, reading levelgrade 11, reading levelgrade 12, romans, science fiction, spanish language, spanish language materials, survival, witches, young adult fiction","action  adventure, adventure stories, children, childrens fiction, childrens stories, english, etc pour la jeunesse, fantasy, fantasy fiction, fiction  general, good and evil, great britain, horror, juvenile fiction, juvenile literature, large type books, magic, missing persons, nouvelles, novela juvenil, open library staff picks, orphans, others, readers, romans, science fiction, spanish language, survival, witches, young adult fiction",large type books
The Edge of Never,J.A. Redmerski,en-US,2012,genre fiction,5427.0,"Man-woman relationships, Sexual dominance and submission, Fiction, Fiction, romance, contemporary, Fiction, women",Fiction,romance,"contemporary, manwoman relationships, romance, women","contemporary, manwoman relationships, romance, women",romance
Reconstructing Amelia,Kimberly McCreight,eng,2013,nonfiction,5427.0,"Private schools, Suicide, Cheating (Education), Mothers and daughters, Guilt, Fiction, Fiction, family life, Mothers and daughters, fiction, New york (n.y.), fiction, Fiction, suspense, Fiction, psychological, Psychological fiction, Roman, Amerikanisches Englisch, Single parents, Daughters, Death, nyt:trade-fiction-paperback=2013-12-22, New York Times bestseller, Fiction, family life, general, Fiction, thrillers, suspense",Fiction,new york times bestseller,"amerikanisches englisch, death, family life, mothers and daughters, new york times bestseller, psychological, psychological fiction, roman, suspense, thrillers","amerikanisches englisch, death, family, mothers and daughters, new york times bestseller, psychological, psychological fiction, romans, suspense, thriller",new york times bestseller
The One Plus One,Jojo Moyes,eng,2014,genre fiction,5427.0,"Methodology, Science, Modern Philosophy, Early works to 1800, Méthodologie, Sciences, Refraction, Meteors, Geometry, First philosophy, Method (philosophical), Metodología, French Philosophy, Theory of Knowledge, Metaphysics, Meteorology, Optique, Ciencia, French language, Philosophy, Météorologie, Classification of sciences, Methods, Philosophy, french, Descartes, rene, 1596-1650, Ouvrages avant 1800, Dieu, Existence, Principe (Philosophie), Connaissance, Théorie de la, Science, methodology, Knowledge, theory of, Philosophie française, Théorie de la connaissance, Science--methodology, B1848.e5 c73 1993, 194",Unknown,philosophy,"french, philosophy","french, philosophy",philosophy
The Hours,Michael Cunningham,en-US,1998,genre fiction,5400.0,"Fiction, Man-woman relationships, Man-woman relationships in fiction, Women in fiction, Influence, Women, Woolf, Virginia, in fiction, Terminally ill in fiction, Terminally ill, Psychological fiction, Domestic fiction, Roman américain, Influence (Literary, artistic, etc.), Relations entre hommes et femmes, Romans, nouvelles, Femmes, Malades en phase terminale, French fiction, Woolf, Virginia, 1882-1941, Romance, Literatura norte-americana, Large type books, Lebensfuhrung, Frau, Belletristische Darstellung, Man-Woman relationships-Fiction, PEN/Faulkner Award Winner, award:pen_faulkner_award=1999, award:pen_faulkner_award=fiction, LGBTQ novels, Stonewall Book Awards, LGBTQ HIV/AIDS, New York Times reviewed, Man-woman relationships, fiction, New york (n.y.), fiction, Fiction, psychological, Authors, fiction",Fiction,large type books,"authors, domestic fiction, large type books, manwoman relationships, new york times reviewed, nouvelles, psychological, psychological fiction, romance, romans, women","authors, domestic fiction, large type books, manwoman relationships, new york times reviewed, nouvelles, psychological, psychological fiction, romance, romans, women",large type books
Wallbanger,Alice Clayton,eng,2012,nonfiction,5400.0,"Erotic, romance, funny, enemies to lovers, contemporary, sassy heroine, fetish, m-f romance",Unknown,romance,"contemporary, romance","contemporary, romance",romance
